0 76 [array([0, 1, 0, 0]), array([1, 1, 0, 1]), array([1, 1, 0, 0]), array([0, 2, 2, 2]), array([0, 1, 2, 0])]
0 77 [array([0, 2, 0, 4]), array([2, 0, 0, 4]), array([1, 1, 0, 3]), array([1, 1, 2, 1]), array([2, 0, 0, 3])]
0 78 [array([1, 1, 2, 0]), array([0, 0, 2, 0]), array([0, 1, 0, 2]), array([1, 1, 3, 1]), array([0, 1, 1, 0])]
0 79 [array([1, 0, 2, 0]), array([2, 0, 3, 0]), array([0, 1, 1, 1]), array([0, 2, 4, 0]), array([2, 0, 0, 2])]
0 80 [array([2, 0, 0, 0]), array([2, 0, 3, 1]), array([1, 1, 1, 2]), array([0, 2, 1, 2]), array([0, 0, 2, 0])]
0 81 [array([1, 0, 0, 0]), array([1, 0, 0, 2]), array([2, 0, 3, 0]), array([0, 2, 0, 1]), array([2, 0, 1, 3])]
0 82 [array([0, 1, 0, 0]), array([1, 1, 3, 0]), array([0, 2, 0, 4]), array([1, 0, 1, 1]), array([2, 0, 3, 1])]
0 83 [array([1, 1, 2, 1]), array([0, 0, 2, 0]), array([2, 0, 0, 3]), array([0, 1, 1, 0]), array([1, 1, 2, 2])]
0 84 [array([2, 0, 0, 2]), array([0, 2, 3, 1]), array([0, 0, 0, 1]), array([2, 0, 1, 3]), array([1, 1, 1, 3])]
0 85 [array([0, 2, 0, 1]), array([2, 0, 3, 1]), array([0, 2, 0, 0]), array([2, 0, 1, 0]), array([2, 0, 4, 0])]
0 86 [array([2, 0, 1, 3]), array([0, 1, 0, 0]), array([0, 2, 0, 1]), array([1, 1, 2, 2]), array([0, 2, 1, 3])]
0 87 [array([2, 0, 3, 0]), array([1, 1, 3, 1]), array([1, 0, 0, 0]), array([1, 1, 0, 1]), array([2, 0, 0, 0])]
0 88 [array([0, 2, 1, 1]), array([0, 2, 1, 3]), array([1, 1, 3, 0]), array([1, 1, 2, 1]), array([0, 2, 4, 0])]
0 89 [array([1, 1, 3, 0]), array([0, 1, 0, 2]), array([0, 0, 1, 1]), array([0, 0, 1, 0]), array([1, 0, 0, 1])]
0 90 [array([0, 2, 0, 3]), array([1, 1, 0, 1]), array([0, 2, 1, 3]), array([0, 2, 3, 0]), array([2, 0, 1, 1])]
0 91 [array([2, 0, 0, 1]), array([2, 0, 1, 0]), array([1, 1, 2, 1]), array([1, 1, 0, 3]), array([0, 1, 1, 0])]
0 92 [array([2, 0, 0, 0]), array([0, 2, 4, 0]), array([0, 1, 1, 1]), array([1, 1, 0, 3]), array([2, 0, 3, 0])]
0 93 [array([1, 1, 0, 1]), array([2, 0, 1, 1]), array([1, 0, 0, 0]), array([1, 1, 1, 3]), array([0, 1, 0, 2])]
0 94 [array([0, 0, 0, 2]), array([1, 1, 0, 2]), array([2, 0, 0, 2]), array([1, 1, 0, 0]), array([2, 0, 1, 3])]
0 95 [array([0, 2, 1, 0]), array([0, 1, 0, 2]), array([2, 0, 0, 4]), array([2, 0, 2, 1]), array([1, 0, 0, 2])]
0 96 [array([0, 2, 1, 2]), array([2, 0, 3, 1]), array([0, 2, 2, 1]), array([2, 0, 1, 0]), array([2, 0, 4, 0])]
0 97 [array([1, 0, 0, 0]), array([0, 2, 1, 0]), array([2, 0, 1, 3]), array([0, 0, 1, 1]), array([0, 1, 2, 0])]
0 98 [array([0, 2, 2, 2]), array([2, 0, 1, 0]), array([0, 1, 1, 0]), array([1, 1, 1, 0]), array([2, 0, 3, 0])]
0 99 [array([0, 2, 2, 2]), array([0, 0, 2, 0]), array([1, 1, 0, 4]), array([0, 2, 1, 1]), array([2, 0, 2, 2])]
1 0 [array([0, 1, 0, 2]), array([0, 0, 1, 0]), array([1, 0, 1, 1]), array([0, 1, 2, 0]), array([1, 1, 0, 0])]
1 1 [array([1, 1, 2, 0]), array([0, 0, 1, 0]), array([1, 1, 1, 0]), array([1, 1, 0, 3]), array([1, 0, 0, 2])]
1 2 [array([1, 1, 0, 1]), array([1, 1, 2, 0]), array([0, 2, 0, 0]), array([2, 0, 0, 1]), array([1, 1, 0, 4])]
1 3 [array([0, 2, 2, 0]), array([0, 2, 0, 1]), array([2, 0, 1, 0]), array([1, 1, 2, 2]), array([1, 1, 1, 2])]
1 4 [array([0, 2, 0, 1]), array([2, 0, 3, 1]), array([0, 2, 0, 0]), array([2, 0, 1, 0]), array([2, 0, 4, 0])]
1 5 [array([1, 0, 0, 0]), array([1, 0, 0, 2]), array([2, 0, 3, 0]), array([0, 2, 0, 1]), array([2, 0, 1, 3])]
1 6 [array([0, 2, 0, 1]), array([0, 0, 0, 1]), array([1, 1, 0, 2]), array([1, 1, 3, 0]), array([2, 0, 2, 1])]
1 7 [array([0, 2, 0, 1]), array([0, 2, 3, 0]), array([2, 0, 1, 3]), array([1, 1, 1, 2]), array([0, 2, 2, 0])]
1 8 [array([2, 0, 3, 0]), array([1, 1, 3, 1]), array([1, 0, 0, 0]), array([1, 1, 0, 1]), array([2, 0, 0, 0])]
1 9 [array([2, 0, 4, 0]), array([1, 1, 0, 1]), array([1, 1, 0, 3]), array([1, 1, 4, 0]), array([1, 1, 1, 2])]
1 10 [array([1, 1, 2, 2]), array([1, 1, 0, 3]), array([1, 1, 2, 0]), array([1, 1, 0, 0]), array([1, 0, 0, 2])]
1 11 [array([1, 1, 0, 3]), array([1, 1, 2, 0]), array([1, 0, 0, 2]), array([0, 0, 1, 0]), array([1, 1, 2, 2])]
1 12 [array([1, 1, 0, 0]), array([0, 0, 1, 0]), array([0, 1, 2, 0]), array([0, 2, 2, 0]), array([1, 1, 2, 2])]
1 13 [array([1, 1, 1, 2]), array([0, 0, 1, 0]), array([2, 0, 1, 0]), array([0, 2, 2, 0]), array([1, 1, 0, 0])]
1 14 [array([1, 0, 1, 1]), array([2, 0, 1, 0]), array([1, 1, 0, 0]), array([0, 2, 0, 0]), array([2, 0, 4, 0])]
1 15 [array([0, 1, 2, 0]), array([2, 0, 1, 0]), array([0, 0, 1, 0]), array([2, 0, 4, 0]), array([1, 0, 1, 1])]
1 16 [array([2, 0, 2, 1]), array([1, 1, 0, 0]), array([1, 0, 1, 1]), array([1, 1, 0, 2]), array([0, 0, 1, 0])]
1 17 [array([0, 2, 0, 1]), array([2, 0, 2, 1]), array([0, 1, 0, 2]), array([0, 0, 1, 0]), array([1, 1, 3, 0])]
1 18 [array([1, 0, 0, 2]), array([0, 1, 0, 2]), array([1, 0, 1, 1]), array([0, 0, 1, 0]), array([1, 1, 0, 0])]
1 19 [array([1, 1, 0, 3]), array([1, 0, 0, 2]), array([0, 0, 1, 0]), array([1, 1, 2, 0]), array([1, 1, 0, 0])]
1 20 [array([1, 0, 1, 1]), array([1, 1, 0, 0]), array([0, 0, 1, 0]), array([0, 1, 2, 0]), array([1, 1, 0, 1])]
1 21 [array([1, 1, 0, 1]), array([1, 1, 2, 0]), array([2, 0, 0, 1]), array([1, 0, 1, 1]), array([1, 1, 0, 4])]
1 22 [array([1, 1, 0, 4]), array([1, 1, 0, 1]), array([0, 2, 0, 0]), array([1, 1, 2, 0]), array([2, 0, 1, 0])]
1 23 [array([0, 2, 0, 1]), array([2, 0, 3, 1]), array([2, 0, 4, 0]), array([0, 2, 0, 0]), array([1, 1, 0, 4])]
1 24 [array([2, 0, 4, 0]), array([2, 0, 3, 1]), array([0, 2, 0, 0]), array([1, 1, 0, 4]), array([0, 2, 0, 1])]
1 25 [array([1, 1, 0, 4]), array([2, 0, 3, 1]), array([2, 0, 0, 1]), array([0, 2, 0, 1]), array([0, 2, 0, 0])]
1 26 [array([2, 0, 4, 0]), array([0, 2, 0, 1]), array([2, 0, 1, 0]), array([0, 0, 0, 1]), array([2, 0, 3, 1])]
1 27 [array([0, 0, 0, 1]), array([1, 1, 0, 2]), array([1, 1, 3, 0]), array([2, 0, 1, 0]), array([0, 2, 0, 0])]
1 28 [array([0, 1, 0, 2]), array([1, 1, 2, 2]), array([2, 0, 1, 0]), array([0, 2, 0, 1]), array([0, 0, 1, 0])]
1 29 [array([0, 2, 0, 1]), array([1, 1, 1, 2]), array([0, 1, 0, 2]), array([0, 0, 1, 0]), array([0, 1, 2, 0])]
1 30 [array([1, 1, 0, 4]), array([1, 1, 1, 2]), array([2, 0, 0, 1]), array([0, 2, 0, 1]), array([1, 1, 2, 0])]
1 31 [array([0, 2, 0, 0]), array([1, 1, 0, 1]), array([1, 1, 0, 4]), array([0, 2, 0, 1]), array([2, 0, 1, 0])]
1 32 [array([0, 2, 2, 0]), array([1, 0, 0, 2]), array([2, 0, 1, 0]), array([1, 1, 2, 0]), array([1, 1, 1, 2])]
1 33 [array([0, 2, 0, 1]), array([1, 1, 0, 3]), array([1, 1, 1, 2]), array([1, 0, 0, 2]), array([0, 2, 2, 0])]
1 34 [array([1, 1, 2, 0]), array([0, 0, 1, 0]), array([2, 0, 0, 1]), array([1, 1, 1, 0]), array([1, 1, 0, 4])]
1 35 [array([0, 1, 1, 0]), array([0, 2, 0, 0]), array([1, 1, 2, 0]), array([0, 0, 1, 0]), array([1, 0, 0, 2])]
1 36 [array([1, 1, 0, 1]), array([0, 0, 1, 0]), array([1, 1, 2, 0]), array([1, 1, 1, 0]), array([1, 1, 0, 3])]
1 37 [array([1, 1, 0, 3]), array([1, 0, 0, 2]), array([1, 1, 2, 0]), array([1, 1, 1, 0]), array([0, 2, 0, 0])]
1 38 [array([1, 1, 3, 0]), array([1, 0, 0, 2]), array([2, 0, 2, 1]), array([0, 0, 0, 1]), array([0, 2, 0, 1])]
1 39 [array([1, 1, 3, 0]), array([0, 2, 1, 0]), array([0, 2, 0, 1]), array([1, 1, 2, 0]), array([2, 0, 2, 1])]
1 40 [array([0, 0, 0, 1]), array([2, 0, 2, 1]), array([0, 2, 0, 1]), array([1, 0, 0, 2]), array([1, 1, 2, 0])]
1 41 [array([0, 0, 0, 1]), array([1, 1, 0, 3]), array([0, 2, 0, 1]), array([0, 0, 1, 0]), array([1, 0, 0, 2])]
1 42 [array([0, 0, 0, 1]), array([1, 1, 1, 0]), array([0, 2, 0, 1]), array([1, 0, 0, 2]), array([1, 1, 0, 3])]
1 43 [array([1, 1, 2, 0]), array([1, 1, 1, 0]), array([1, 0, 0, 2]), array([1, 1, 3, 0]), array([0, 2, 0, 1])]
1 44 [array([0, 1, 2, 0]), array([1, 1, 0, 0]), array([0, 2, 0, 1]), array([0, 2, 2, 0]), array([1, 1, 2, 2])]
1 45 [array([1, 0, 1, 1]), array([1, 1, 2, 2]), array([1, 1, 0, 0]), array([0, 2, 0, 1]), array([0, 1, 0, 2])]
1 46 [array([1, 1, 0, 3]), array([0, 0, 1, 0]), array([0, 1, 2, 0]), array([1, 1, 0, 0]), array([0, 1, 0, 2])]
1 47 [array([0, 0, 1, 0]), array([1, 1, 0, 0]), array([0, 1, 0, 2]), array([1, 1, 2, 0]), array([1, 0, 1, 1])]
1 48 [array([1, 0, 0, 0]), array([1, 1, 1, 2]), array([2, 0, 3, 0]), array([0, 2, 2, 0]), array([2, 0, 1, 3])]
1 49 [array([2, 0, 1, 0]), array([2, 0, 1, 3]), array([1, 1, 2, 2]), array([1, 0, 0, 0]), array([0, 2, 0, 1])]
1 50 [array([0, 2, 2, 0]), array([0, 2, 0, 1]), array([0, 2, 3, 0]), array([2, 0, 1, 0]), array([1, 1, 2, 2])]
