# Time alpha-glucose beta-glucose O2 delta-glucose H2O2
1.636000000000000000e+04 3.331101056193050587e-03 3.593071343148066150e-03 6.924172399341057757e-03 4.930758276006589891e-01 4.930758276006589891e-01
1.638000000000000000e+04 3.323227675618256865e-03 3.587160468653366810e-03 6.910388144271565128e-03 4.930896118557284713e-01 4.930896118557284713e-01
1.640000000000000000e+04 3.315390813661381417e-03 3.581262570369795652e-03 6.896653384031117655e-03 4.931033466159689405e-01 4.931033466159689405e-01
1.642000000000000000e+04 3.307590303229436795e-03 3.575377550615997917e-03 6.882967853845375732e-03 4.931170321461546546e-01 4.931170321461546546e-01
1.644000000000000000e+04 3.299825973965550725e-03 3.569505317635578157e-03 6.869331291601069901e-03 4.931306687083989448e-01 4.931306687083989448e-01
1.646000000000000000e+04 3.292097652248966982e-03 3.563645785597097625e-03 6.855743437846005192e-03 4.931442565621540486e-01 4.931442565621540486e-01
1.648000000000000000e+04 3.284405161195044082e-03 3.557798874594075150e-03 6.842204035789060251e-03 4.931577959642109987e-01 4.931577959642109987e-01
1.650000000000000000e+04 3.276748320655255287e-03 3.551964510644989304e-03 6.828712831300185609e-03 4.931712871686998456e-01 4.931712871686998456e-01
1.652000000000000000e+04 3.269126947217190337e-03 3.546142625693274059e-03 6.815269572910405416e-03 4.931847304270896015e-01 4.931847304270896015e-01
1.654000000000000000e+04 3.261540854204554151e-03 3.540333157607322700e-03 6.801874011811817437e-03 4.931981259881882407e-01 4.931981259881882407e-01
1.656000000000000000e+04 3.253989851677165958e-03 3.534536050180486083e-03 6.788525901857592193e-03 4.932114740981424217e-01 4.932114740981424217e-01
1.658000000000000000e+04 3.246473746430961031e-03 3.528751253131072636e-03 6.775224999561974687e-03 4.932247750004380427e-01 4.932247750004380427e-01
1.660000000000000000e+04 3.238992341997990257e-03 3.522978722102348796e-03 6.761971064100280072e-03 4.932380289358997416e-01 4.932380289358997416e-01
1.662000000000000000e+04 3.231545438646418831e-03 3.517218418662538572e-03 6.748763857308897988e-03 4.932512361426911185e-01 4.932512361426911185e-01
1.664000000000000000e+04 3.224132833380528428e-03 3.511470310304823979e-03 6.735603143685293427e-03 4.932643968563147352e-01 4.932643968563147352e-01
1.666000000000000000e+04 3.216754319940715468e-03 3.505734370447345042e-03 6.722488690388001530e-03 4.932775113096120045e-01 4.932775113096120045e-01
